core_size,data_flow,bandwidth,buffer_size,M,K,N,latency
64,is,2,256,16,16,16,173
64,os,2,256,16,16,16,173
64,ws,2,256,16,16,16,173
64,is,3,256,16,16,16,173
64,os,3,256,16,16,16,173
64,ws,3,256,16,16,16,173
64,is,4,256,16,16,16,173
64,os,4,256,16,16,16,173
64,ws,4,256,16,16,16,173
64,is,6,256,16,16,16,173
64,os,6,256,16,16,16,173
64,ws,6,256,16,16,16,173
64,is,8,256,16,16,16,173
64,os,8,256,16,16,16,173
64,ws,8,256,16,16,16,173
64,is,9,256,16,16,16,173
64,os,9,256,16,16,16,173
64,ws,9,256,16,16,16,173
64,is,10,256,16,16,16,173
64,os,10,256,16,16,16,173
64,ws,10,256,16,16,16,173
64,is,12,256,16,16,16,173
64,os,12,256,16,16,16,173
64,ws,12,256,16,16,16,173
64,is,14,256,16,16,16,173
64,os,14,256,16,16,16,173
64,ws,14,256,16,16,16,173
64,is,16,256,16,16,16,173
64,os,16,256,16,16,16,173
64,ws,16,256,16,16,16,173
64,is,18,256,16,16,16,173
64,os,18,256,16,16,16,173
64,ws,18,256,16,16,16,173
64,is,19,256,16,16,16,173
64,os,19,256,16,16,16,173
64,ws,19,256,16,16,16,173
64,is,20,256,16,16,16,173
64,os,20,256,16,16,16,173
64,ws,20,256,16,16,16,173
64,is,22,256,16,16,16,173
64,os,22,256,16,16,16,173
64,ws,22,256,16,16,16,173
64,is,24,256,16,16,16,173
64,os,24,256,16,16,16,173
64,ws,24,256,16,16,16,173
64,is,25,256,16,16,16,173
64,os,25,256,16,16,16,173
64,ws,25,256,16,16,16,173
64,is,26,256,16,16,16,173
64,os,26,256,16,16,16,173
64,ws,26,256,16,16,16,173
64,is,28,256,16,16,16,173
64,os,28,256,16,16,16,173
64,ws,28,256,16,16,16,173
64,is,30,256,16,16,16,173
64,os,30,256,16,16,16,173
64,ws,30,256,16,16,16,173
64,is,32,256,16,16,16,173
64,os,32,256,16,16,16,173
64,ws,32,256,16,16,16,173
64,is,35,256,16,16,16,173
64,os,35,256,16,16,16,173
64,ws,35,256,16,16,16,173
64,is,38,256,16,16,16,173
64,os,38,256,16,16,16,173
64,ws,38,256,16,16,16,173
64,is,41,256,16,16,16,173
64,os,41,256,16,16,16,173
64,ws,41,256,16,16,16,173
64,is,44,256,16,16,16,173
64,os,44,256,16,16,16,173
64,ws,44,256,16,16,16,173
64,is,48,256,16,16,16,173
64,os,48,256,16,16,16,173
64,ws,48,256,16,16,16,173
64,is,51,256,16,16,16,173
64,os,51,256,16,16,16,173
64,ws,51,256,16,16,16,173
64,is,2,512,16,16,16,173
